;INVENTARIO DE PRODUCTOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;CODIGO;NOMBRE;FABRICANTE;DESCRIPCION; PRECIO VENTA ; PRECIO COMPRA ; UNIDAD ;STOCK EN ALMACEN;FECHA INGRESO;ENTRADA;SALIDA;STOCK; IMPORTE INVENTARIO ; PROVEEDOR ; Columna1 
;R_0001;" ALICATE PRESION 10"" "; EUROTOOLS;ALF-223;S/ 14.00;S/ 8.90; unidad ;1;25/03/2025;2;0;3; S/. 42.00 ;alfa;
;R_0002;Abrazadera 1 1/2 tubo agua;El Puma;1 1/2, 2 oreja;S/ 100.00;S/ 50.00; ciento ;1;;0;0;1; S/. 100.00 ;;
;R_0003;Abrazadera 1 1/4 sin fin;;galvanizada 1 1/4;;S/ 49.00; millar ;1;;0;0;1; S/. -   ;;
;R_0004;ABRAZADERA 1 OREJA;EL PUMA;"1"" P/ TUBO DE LUZ";;S/ 10.50; CIENTO ;1;4/07/2024;0;0;1; S/. -   ;;
;R_0005;ABRAZADERA 1 OREJA;EL PUMA;"3/4"" P/TUBO DE LUZ";;S/ 8.50; CIENTO ;1;4/07/2024;0;0;1; S/. -   ;;
;R_0006;Abrazadera 1 tubo agua;El Puma;"1"", 2 oreja";S/ 75.00;S/ 35.00; ciento ;1;;0;0;1; S/. 75.00 ;;
;R_0007;Abrazadera 1/2 tubo agua;El puma;"1/2"", 2 oreja";S/ 48.00;S/ 24.00; ciento ;100;;0;0;100; S/. 4,800.00 ;;
;R_0008;Abrazadera 2 orejas;El puma;3-Abr;S/ 16.00;S/ 8.00; ciento ;1;24/03/2025;0;0;1; S/. 16.00 ;Negociaciones generales cia;
;R_0009;Abrazadera 2 tubo agua;El Puma;"2"",2 oreja";S/ 120.00;S/ 57.50; ciento ;1;;0;0;1; S/. 120.00 ;;
;R_0010;Abrazadera agua 2 orejas;;3/4 pesada;S/ 16.00;S/ 28.00; ciento ;1;24/03/2025;0;0;1; S/. 16.00 ;Negociaciones generales cia;
;R_0011;Abrazadera P/ canaleta;;"4"" soporte p/canaleta";S/ 4.00;S/ 1.90; unidad ;6;20/06/2025;0;0;6; S/. 24.00 ;;
;R_0012;Abrazadera P/ canaleta;;4 Presion;S/ 25.00;S/ 14.00; Juego ;1;20/06/2025;0;0;1; S/. 25.00 ;cia;
;R_0013;ABRAZADERA SIN FIN 1 ;;1 GALVANIZADA;;S/ 22.00; CIENTO ;1;4/07/2024;0;0;1; S/. -   ;;
;R_0014;Abrazadera sin fin 1 1/2;;;S/ 90.00;S/ 54.00; ciento ;1;20/06/2025;0;0;1; S/. 90.00 ;;
;R_0015;Abrazadera sin fin 1 1/4;;;S/ 90.00;S/ 49.00; ciento ;1;20/06/2025;0;0;1; S/. 90.00 ;;
;R_0016;ABRAZADERA SIN FIN 1/2 ;;1/2 GALVANIZADA;;S/ 20.50; CIENTO ;1;4/07/2024;20;0;21; S/. -   ;;
;R_0017;ABRAZADERA SIN FIN 3/4;;3/4 GALVANIZADA;;S/ 20.50; CIENTO ;1;4/07/2024;0;0;1; S/. -   ;;
;R_0018;aceite 4 en 1 chico;economico;;S/ 2.00;S/ 0.85; unidad ;8;23/08/2024;0;0;8; S/. 16.00 ;ALFA;
;R_0019;Acido 1 L;Derquin;Antizarro antimanchas;S/ 6.00;;Litro;10;;0;0;10; S/. 60.00 ;;
;R_0020;Acido gln;;;;;galon;4;;0;0;4; S/. -   ;;
;R_0021;Africano 0.76L;Adhesivo Nacionales;terocal;S/ 13.00;;unidad;1;;0;0;1; S/. 13.00 ;;
;R_0022;Africano peque;Adhesivo Nacionales;terocal;S/ 2.00;;unidad;7;;0;0;7; S/. 14.00 ;;
;R_0023;Alcayata 1;;;;S/ 8.50; caja ;1;9/09/2024;0;0;1; S/. -   ;negociaciones generales;
;R_0024;Alcayata 2 1/2;;;;S/ 8.50; caja ;1;9/09/2024;0;0;1; S/. -   ;negociaciones generales;
;R_0025;"ALCAYATA 2""";BARCO;"2""";S/ 12.00;S/ 8.50; CAJA ;1;9/09/2024;0;0;1; S/. 12.00 ;negociaciones generales;
