;INVENTARIO DE PRODUCTOS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;CODIGO;NOMBRE;CATEGORIA;FABRICANTE;DESCRIPCIÓN; PRECIO VENTA ; PRECIO COMPRA ; UNIDAD ;STOCK EN ALMACEN;FECHA INGRESO;ENTRADA;SALIDA;STOCK; IMPORTE INVENTARIO ; PROVEEDOR ; Columna1 
;R_0038;"Angulo 2 1/2"" x 1""";;;;;;;;;0;0;0; S/. -   ;;
;R_0039;"Angulo 2 1/2""x 1/2""";;;;S/ 0.80;;unidad;;;0;0;0; S/. -   ;;
;R_0040;"Angulo 2"" x 1/2""";;amarillo;;;;;;;0;0;0; S/. -   ;;
;R_0041;"Angulo 3/4"" x 1""";;;;;;;;;0;0;0; S/. -   ;;
;R_0042;ANGULO 8x10 negro;;Gema;c/Refuerzo negro 8x10;S/ 144.00;S/ 76.00; docena ;1;20/02/2025;0;0;1; S/. 144.00 ;alfa;
;R_0043;ANGULO C/REFUERZO;;GEMA PERU;6X8 NEGRO;;S/ 30.48; DOCENA ;1;4/07/2024;0;0;1; S/. -   ;;
;R_0044;Angulo cama 2 1/2;;EL PUMA;;S/ 6.00;S/ 3.00;JUEGO;6;;0;0;6; S/. 36.00 ;;
;R_0045;Angulo cama 3;;;;S/ 8.00;; Juego(4) ;;;0;0;0; S/. -   ;;
;R_0046;Angulo cama 4;;;;S/ 9.00;S/ 4.60; Juego(4) ;6;;0;0;6; S/. 54.00 ;;
;R_0047;Angulo con refuerzo 8 x 10 negro;;;negro 8 x 10;S/ 120.00;S/ 76.00; docena ;;;0;0;0; S/. -   ;;
;R_0048;Angulo doble 4 huecos;;4 huecos;40 x 40;S/ 44.00;S/ 24.00; ciento ;;19/02/2025;0;0;0; S/. -   ;;
;R_0049;Angulo doble 4 huecos;;;50 x 50;;S/ 49.60; ciento ;;20/02/2025;0;0;0; S/. -   ;;
;R_0050;Angulo liviano;;;1 1/2 x 1 1/2;;;;;11/02/2025;0;0;0; S/. -   ;;
;R_0051;Angulo liviano 1 x 1;;;1 x 1 zincado;S/ 20.00;S/ 11.50; ciento ;2;24/03/2025;0;0;2; S/. 40.00 ;Negociaciones generales cia;
;R_0052;Angulo Perimetral;;;drywall;S/ 10.00;S/ 5.10;;;;0;0;0; S/. -   ;;
;R_0053;Angulo Pesado 2x2;;El puma;2x2;S/ 100.00;S/ 59.00; ciento ;2;24/03/2025;0;0;2; S/. 200.00 ;;
;R_0054;ANGULO PESADO 3x3 ;;EL PUMA;3X3;S/ 130.00;S/ 86.00; CIENTO ;1;24/03/2025;0;0;1; S/. 130.00 ;;
;R_0055;"Aplicador Silicona 9""";;INGCO;;S/ 13.00;S/ 8.60; unidad ;6;24/01/2025;0;0;6; S/. 78.00 ;;
;R_0056;arandela liv 1/4;;;;S/ 12.00;S/ 6.00;Kg;25;;0;0;25; S/. 300.00 ;;
;R_0057;arandela liv 1/8 ;;;zincado;S/ 14.00;; Kg ;10;;0;0;10; S/. 140.00 ;;
;R_0058;Arandela Neofreno 8;;;;S/ 7.00;S/ 1.70;ciento;1;15/12/2025;0;0;1; S/. 7.00 ;;
